test,scope,n,n_high,n_low,mean_SE_high_D,mean_SE_low_D,U,rho,p_two_sided,p_one_sided_SE_higher_in_high_D,p_one_sided_positive,verdict
MannWhitney_pooled,all,,61.0,34.0,0.389424,0.360832,1147.0,,0.394672,0.197336,,does NOT support hypothesis (p = 0.1973 >= 0.05)
MannWhitney_per_modality,Programming,,19.0,16.0,0.331345,0.249704,181.0,,0.341218,0.170609,,does NOT support hypothesis (p = 0.1706 >= 0.05)
MannWhitney_per_modality,oral_video,,22.0,8.0,0.487525,0.52578,69.0,,0.393216,0.81606,,does NOT support hypothesis (p = 0.8161 >= 0.05)
MannWhitney_per_modality,text,,20.0,10.0,0.336689,0.406678,77.5,,0.33257,0.844468,,does NOT support hypothesis (p = 0.8445 >= 0.05)
Spearman_pooled,all,95.0,,,,,,0.148397,0.151227,,0.075613,does NOT support hypothesis (p = 0.0756 >= 0.05)
Spearman_per_modality,Programming,35.0,,,,,,0.302553,0.077297,,0.038648,SUPPORTS hypothesis (p = 0.0386 < 0.05)
Spearman_per_modality,oral_video,30.0,,,,,,0.066073,0.728666,,0.364333,does NOT support hypothesis (p = 0.3643 >= 0.05)
Spearman_per_modality,text,30.0,,,,,,-0.225613,0.230623,,0.884688,does NOT support hypothesis (p = 0.8847 >= 0.05)
Combined_Fisher,across_modalities,95.0,,,,,,,,,0.186878,does NOT support hypothesis (p = 0.1869 >= 0.05)
Combined_Stouffer_sqrtN,across_modalities,95.0,,,,,,,,,0.276397,does NOT support hypothesis (p = 0.2764 >= 0.05)
Stratified_Spearman_asymptotic,all (modality-controlled),95.0,,,,,,0.056618,0.585772,,0.292886,does NOT support hypothesis (p = 0.2929 >= 0.05)
Stratified_Spearman_permutation_10000,all (modality-controlled),95.0,,,,,,0.056618,0.5905,,0.2931,does NOT support hypothesis (p = 0.2931 >= 0.05)
